Week,Population,ID,Treatment,Conductance,Chlorophyll,Alpha,ETRmax,Ek,NPQmax,Fv/Fm,Phase
1,Koko,K13A,C,245.1,38.9,NA,NA,NA,NA,NA,Treatment
1,Koko,K14A,C,266.1,26.5,NA,NA,NA,NA,NA,Treatment
1,Koko,K15A,C,300.1,26.1,NA,NA,NA,NA,NA,Treatment
1,Koko,K16A,C,274.6,35.2,NA,NA,NA,NA,NA,Treatment
1,Koko,K17A,C,244.1,34.2,NA,NA,NA,NA,NA,Treatment
1,Koko,K18A,C,226.2,32.9,NA,NA,NA,NA,NA,Treatment
1,Koko,K19A,C,272.4,30.2,NA,NA,NA,NA,NA,Treatment
1,Koko,K20A,C,196.2,26.3,NA,NA,NA,NA,NA,Treatment
1,Koko,K21A,C,257.6,27,NA,NA,NA,NA,NA,Treatment
1,Koko,K22A,C,204.2,32,NA,NA,NA,NA,NA,Treatment
1,Koko,K23A,C,269,28.1,NA,NA,NA,NA,NA,Treatment
1,Koko,K24A,C,208,20,NA,NA,NA,NA,NA,Treatment
1,Koko,K37A,PD,300.7,33.7,NA,NA,NA,NA,NA,Treatment
1,Koko,K38A,PD,342.6,35.1,NA,NA,NA,NA,NA,Treatment
1,Koko,K39A,PD,308.6,35.6,NA,NA,NA,NA,NA,Treatment
1,Koko,K40A,PD,243.5,33.8,NA,NA,NA,NA,NA,Treatment
1,Koko,K41A,PD,255.1,25.3,NA,NA,NA,NA,NA,Treatment
1,Koko,K42A,PD,279.9,23.7,NA,NA,NA,NA,NA,Treatment
1,Koko,K43A,PD,209.5,33.3,NA,NA,NA,NA,NA,Treatment
1,Koko,K44A,PD,122.8,34.5,NA,NA,NA,NA,NA,Treatment
1,Koko,K45A,PD,294.2,30.5,NA,NA,NA,NA,NA,Treatment
1,Koko,K46A,PD,293,30.7,NA,NA,NA,NA,NA,Treatment
1,Koko,K47A,PD,289.2,28.7,NA,NA,NA,NA,NA,Treatment
1,Koko,K48A,PD,265.4,28.3,NA,NA,NA,NA,NA,Treatment
2,Koko,K13A,C,528,36.9,0.172,96.544,562.136,0.769,0.677,Treatment
2,Koko,K14A,C,753.5,27.2,0.196,151.286,771.713,1.229,0.631,Treatment
2,Koko,K15A,C,706.2,18.2,0.176,178.714,1017.269,1.076,0.609,Treatment
2,Koko,K16A,C,808.8,27.1,0.15,117.071,778.451,1.227,0.557,Treatment
2,Koko,K17A,C,757.7,35.2,0.147,89.622,610.293,0.774,0.574,Treatment
2,Koko,K18A,C,835.2,29.3,0.172,199.202,1161.294,0.746,0.589,Treatment
2,Koko,K19A,C,934.6,34,0.158,199.889,1263.447,0.765,0.589,Treatment
2,Koko,K20A,C,488.3,36.6,0.19,146.847,774.351,1.665,0.595,Treatment
2,Koko,K21A,C,825.8,20.1,0.165,110.154,668.512,1.613,0.552,Treatment
