"","Week","Population","Treatment","Phase","mean_chl","mean_cond","mean_etrm"
"1",1,"Ekahanui","C","Treatment",28.58,515.34,NA
"2",1,"Ekahanui","PD","Treatment",27.46,462.23,NA
"3",1,"Kahanahaiki","C","Treatment",29.52,592.17,177.3229
"4",1,"Kahanahaiki","PD","Treatment",33.25,559.27,140.684
"5",1,"Keaau","C","Treatment",25.9,438.73,690.7716
"6",1,"Keaau","PD","Treatment",25.47,349.74,131.2448
"7",1,"Kealia","C","Treatment",27.78,352.84,91.6764444444444
"8",1,"Kealia","PD","Treatment",25.1,101.59,116.6819
"9",1,"Koko","C","Treatment",29.7833333333333,246.966666666667,NA
"10",1,"Koko","PD","Treatment",31.1,267.041666666667,NA
"11",1,"Makaha","C","Treatment",28.47,548.77,171.6472
"12",1,"Makaha","PD","Treatment",28.04,332.39,147.6221
"13",1,"Ohikilolo1","C","Treatment",25.8636363636364,644.036363636364,134.382272727273
"14",1,"Ohikilolo1","PD","Treatment",29.4454545454545,484.381818181818,130.367636363636
"15",1,"Ohikilolo2","C","Treatment",29.85,401.25,166.4688
"16",1,"Ohikilolo2","PD","Treatment",27.55,135.02,166.84
"17",1,"Saddle","C","Treatment",28.675,551.55,217.63825
"18",1,"Saddle","PD","Treatment",24.625,497.4,169.791
"19",2,"Ekahanui","C","Treatment",24.22,421.98,336.7234
"20",2,"Ekahanui","PD","Treatment",31.54,162.15,229.769555555556
"21",2,"Kahanahaiki","C","Treatment",26.53,478.1,111.2366
"22",2,"Kahanahaiki","PD","Treatment",31.51,204.12,128.6279
"23",2,"Keaau","C","Treatment",28.31,644.53,156.1439
"24",2,"Keaau","PD","Treatment",28.6,385.66,175.4043
"25",2,"Kealia","C","Treatment",28.09,161.05,173.349
"26",2,"Kealia","PD","Treatment",31.58,96.11,138.6242
"27",2,"Koko","C","Treatment",29.7416666666667,748.491666666667,153.331666666667
"28",2,"Koko","PD","Treatment",28.5083333333333,639.041666666667,139.094916666667
"29",2,"Makaha","C","Treatment",28.18,386.01,NA
"30",2,"Makaha","PD","Treatment",27.17,180.4,NA
"31",2,"Ohikilolo1","C","Treatment",21.4454545454545,876.690909090909,138.663
"32",2,"Ohikilolo1","PD","Treatment",26.0363636363636,461.963636363636,143.266636363636
"33",2,"Ohikilolo2","C","Treatment",33.24,518.65,192.2177
"34",2,"Ohikilolo2","PD","Treatment",33.02,766.08,188.3741
"35",2,"Saddle","C","Treatment",27.5,891.525,138.2175
"36",2,"Saddle","PD","Treatment",31.175,399.6,82.25975
"37",3,"Ekahanui","C","Treatment",28.88,608.36,346.601
"38",3,"Ekahanui","PD","Treatment",24.1285714285714,126.771428571429,157.4134
"39",3,"Kahanahaiki","C","Treatment",31.88,760.84,183.3558
"40",3,"Kahanahaiki","PD","Treatment",33.0777777777778,267.433333333333,115.352777777778
"41",3,"Keaau","C","Treatment",27.59,479.93,738.1229
"42",3,"Keaau","PD","Treatment",30.42,242.73,251.7773
"43",3,"Kealia","C","Treatment",29.29,322.06,186.4623
"44",3,"Kealia","PD","Treatment",29.1666666666667,62.3666666666667,151.273333333333
"45",3,"Koko","C","Treatment",28.1,831.983333333333,142.767916666667
"46",3,"Koko","PD","Treatment",31.95,691.683333333333,139.028166666667
"47",3,"Makaha","C","Treatment",29,578.86,633.8702
"48",3,"Makaha","PD","Treatment",29.3111111111111,193.755555555556,318.886285714286
"49",3,"Ohikilolo1","C","Treatment",21.3818181818182,649.118181818182,151.678363636364
"50",3,"Ohikilolo1","PD","Treatment",20.4545454545455,90.3727272727273,96.5327
"51",3,"Ohikilolo2","C","Treatment",34.35,709,127.6215
"52",3,"Ohikilolo2","PD","Treatment",33.37,471.03,140.8958
"53",3,"Saddle","C","Treatment",29.325,766.325,230.5565
"54",3,"Saddle","PD","Treatment",32.125,145.85,128.25325
"55",4,"Ekahanui","C","Pre-Recovery",21.57,477.56,301.2908
"56",4,"Ekahanui","PD","Pre-Recovery",27.0666666666667,52.6,130.676
